Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.mean,sd.bmr,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.mean,sd.fmr,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.geo.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.geo.mean,fmr.lower.95hpd,fmr.upper.95hpd
Pteronotus_gymnonotus,Chiroptera,Mormoopidae,1.1583624920952498,0.9807928333333333,0.07829232611234374,0.8338,1.1348,1.5231156333333333,0.0795989248370267,1.376,1.6783,9.567375805385241,6.820245379032681,13.639548675066383,33.35152012290371,23.76840286624876,47.67602073674958
Pteronotus_macleayii,Chiroptera,Mormoopidae,0.7323937598229685,0.6462841,0.08943627030464395,0.4858,0.8374,1.208187,0.09040938784294866,1.0321,1.386,4.428779926500256,3.060553672053663,6.87701544944209,16.150538225168997,10.767131074439728,24.322040090738145
Pteronotus_mesoamericanus,Chiroptera,Mormoopidae,1.1789769472931695,1.0165768333333334,0.08951712617481876,0.8348,1.1855,1.5579504333333334,0.09029399785420432,1.3803,1.7278,10.38907384764348,6.835967668381047,15.328512063629356,36.136861675529296,24.004905465538194,53.4318240087348
Pteronotus_paraguanensis,Chiroptera,Mormoopidae,1.1430148002540952,0.9704553333333333,0.09313318861624732,0.8008,1.1624,1.5134831,0.09394591871357502,1.3316,1.6916,9.34233278543658,6.321206820052682,14.53449677918315,32.61993565272766,21.458531598843706,49.158655915686175
Pteronotus_parnellii,Chiroptera,Mormoopidae,1.294466226161593,1.1129894,0.07890501315721611,0.9574,1.2616,1.6490548666666667,0.07974155684634152,1.4977,1.803,12.97147610594417,9.065671957383554,18.264172487743544,44.571255401147226,31.45574677431894,63.53309318517436
Pteronotus_personatus,Chiroptera,Mormoopidae,0.9395192526186185,0.8386408,0.07459092771594841,0.6902,0.9808,1.3910228666666666,0.07551283219685923,1.2386,1.5311,6.896691504140919,4.900044227932359,9.567533686182411,24.604971519300097,17.32207840428825,33.97034832033794
Pteronotus_quadridens,Chiroptera,Mormoopidae,0.7160033436347992,0.6087363,0.0762988110993113,0.4551,0.7574,1.1713936,0.0776077965739892,1.0241,1.3272,4.061966150626413,2.8516748143050132,5.720052304159282,14.838622966049883,10.570608784557757,21.242224773886967
Pteronotus_rubiginosus,Chiroptera,Mormoopidae,1.2148438480476977,1.0448348,0.08587377700722047,0.8724,1.2092,1.5845589,0.08658384811869752,1.4127,1.7549,11.087529797537933,7.454182133789903,16.18825362642107,38.42013619032907,25.86425658378004,56.87219626948187
Pteronura_brasiliensis,Carnivora,Mustelidae,4.3802094321474945,3.5653010333333333,0.09318255622805136,3.3826,3.7428,3.9595161666666665,0.09356299859920326,3.7792,4.1386,3675.3697226509776,2413.2371370086103,5530.953407403111,9109.953635516265,6014.506519775483,13759.415960633896
Pteropus_admiralitatum,Chiroptera,Pteropodidae,2.476976465759527,1.9875235666666666,0.0584947432932499,1.8763,2.106,2.469229933333333,0.058998630465414086,2.3534,2.5862,97.1680677674942,75.214227608716,127.64388088113435,294.59809442715505,225.6316399628151,385.65591789139313
Pteropus_aldabrensis,Chiroptera,Pteropodidae,2.484299839346786,1.9918124333333334,0.048837219004214165,1.8992,2.0876,2.473183033333333,0.049695310477214025,2.3736,2.568,98.13240292058829,79.28663748785478,122.34888053268153,297.2918703817299,236.37416081162945,369.8281797802663
Pteropus_alecto,Chiroptera,Pteropodidae,2.808616035426992,2.2318971666666667,0.058208648019061206,2.1129,2.3402,2.6983582,0.05881878936831539,2.5865,2.8154,170.5678466371966,129.6880618803647,218.87693574314176,499.2961301262778,385.92241159472917,653.7323852287956
Pteropus_allenorum,Chiroptera,Pteropodidae,2.433289685195026,1.955256,0.0587633508330976,1.8366,2.0693,2.438969833333333,0.05935504623711584,2.3152,2.552,90.21027360000349,68.64359179269948,117.30053691536921,274.77032873845906,206.6331517564482,356.45113342624427
Pteropus_anetianus,Chiroptera,Pteropodidae,2.629409599102719,2.1012539666666665,0.05894412004060577,1.9795,2.2108,2.5759528333333335,0.059600782682816815,2.4601,2.6952,126.25656417147383,95.38937428415451,162.4800335227319,376.66288919008866,288.4695652381364,495.67840659411786
Pteropus_aruensis,Chiroptera,Pteropodidae,2.8711057009855856,2.2765507,0.05446328221116564,2.1739,2.387,2.7401391333333334,0.05510938707180504,2.6413,2.8567,189.03869040848156,149.24507205337386,243.78108183687525,549.716956459626,437.8244391318431,718.9521718666391
Pteropus_brunneus,Chiroptera,Pteropodidae,2.3010299956639813,1.859657,0.05885285031610712,1.7472,1.9802,2.3494524666666665,0.059317467983033424,2.2299,2.4652,72.38640360769217,55.87274389940203,95.54324776409487,223.59004670416473,169.78526624260212,291.87708481971424
