Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10MR,MR,source
Peromyscus_leucopus,Rodentia,Cricetidae,1.325310371711061,1.590680721534321,FMR,Hudson.2013
Peromyscus_leucopus,Rodentia,Cricetidae,1.2695129442179163,1.4565370446664692,FMR,Hudson.2013
Peromyscus_leucopus,Rodentia,Cricetidae,1.2201080880400552,1.5840095011197886,FMR,Hudson.2013
Tamias_striatus,Rodentia,Sciuridae,1.994756944587628,2.135761220138382,FMR,Hudson.2013
Tamias_striatus,Rodentia,Sciuridae,2.0025979807199086,2.217060329515401,FMR,Hudson.2013
Tamias_striatus,Rodentia,Sciuridae,1.9513375187959177,2.109072243142483,FMR,Hudson.2013
Lama_guanicoe,Cetartiodactyla,Camelidae,4.648360010980932,4.16345955176999,FMR,Hudson.2013
Lama_guanicoe,Cetartiodactyla,Camelidae,4.748188027006201,4.183554533618862,FMR,Hudson.2013
Lama_guanicoe,Cetartiodactyla,Camelidae,4.703291378118661,4.064457989226918,FMR,Hudson.2013
Microcebus_murinus,Primates,Cheirogaleidae,1.6720978579357175,1.9882467233753784,FMR,Hudson.2013
Microcebus_murinus,Primates,Cheirogaleidae,1.9344984512435677,1.9485596621089616,FMR,Hudson.2013
Microcebus_murinus,Primates,Cheirogaleidae,1.9912260756924949,2.178026788270433,FMR,Hudson.2013
Microcebus_murinus,Primates,Cheirogaleidae,1.8228216453031045,2.048985302570711,FMR,Hudson.2013
Microcebus_murinus,Primates,Cheirogaleidae,1.7558748556724915,2.00949338828754,FMR,Hudson.2013
